strain	length_estimate
QG4021	198.277
QG4076	197.066
QG4077	195.525
QG4078	201.554
QG4079	203.382
QG4080	200.765
QG4103	264.999
QG4134	323.403
QG4135	245.169
QG4137	222.633
QG4138	205.592
QG4139	203.843
QG4151	203.676
QG4158	203.26
QG4159	215.175
QG4160	234.921
QG4161	248.013
QG4162	237.613
QG4163	242.638
QG4166	207.76
QG4182	191.65
QG4184	194.425
QG4185	215.605
QG4186	205.545
QG4193	181.449
QG4194	174.612
QG4226	211.988
QG4228	192.467
QG536	157.648
QG537	114.783
QG538	227.19
QG556	817.945
QG557	665.395
QG558	778.507
QW947	122.144
QX1211	503.896
QX1212	658.299
QX1213	1545.46
QX1214	799.891
QX1215	412.153
QX1216	412.78
QX1233	313.071
QX1791	118.928
QX1792	304.835
QX1793	206.181
QX1794	512.429
RC301	773.44
TWN2530	175.071
TWN2542	193.796
TWN2794	165.885
TWN2803	188.163
WN2001	177.589
WN2002	162.475
WN2010	298.358
WN2011	427.745
WN2013	335.133
WN2014	251.601
WN2016	146.705
WN2017	274.993
WN2018	358.427
WN2019	187.032
WN2020	308.205
WN2021	311.795
WN2033	247.594
WN2035	163.225
WN2039	175.736
WN2050	133.27
WN2056	125.786
WN2059	135.301
WN2060	171.087
WN2061	112.456
WN2062	120.606
WN2063	155.009
WN2064	99.4388
WN2065	129.8
WN2066	143.642
WN2067	152.617
WN2068	218.93
WN2069	154.535
WN2070	263.053
WN2071	136.027
WN2073	127.052
WN2074	228.04
WN2075	215.881
WN2076	260.604
WN2077	135.871
WN2078	157.949
WN2079	141.652
WN2080	150.509
WN2081	155.022
WN2082	154.241
WN2083	158.758
WN2086	141.154
WN2088	137.876
WN2089	141.94
WN2090	149.499
WN2091	141.548
WN2092	139.283
WN2093	138.28
WN2095	149.675
WN2096	154.525
XZ1513	236.538
XZ1514	120.969
XZ1515	179.511
XZ1516	78.3406
XZ1672	309.021
XZ1734	153.681
XZ1735	139.846
XZ1756	156.117
XZ2018	194.236
XZ2019	227.299
XZ2020	427.127
XZ2210	184.783
XZ2211	174.007
XZ2212	193.145
XZ2213	161.846
