strain	length_estimate	isotype	release	isotype_ref_strain	wgs_seq
ECA2336	156.702	ECA2336	20210121	TRUE	TRUE
ECA2338	211.275	ECA2336	20210121	FALSE	TRUE
ECA2340	411.295	ECA2334	20210121	FALSE	TRUE
ECA2342	350.028	ECA2344	20210121	FALSE	TRUE
ECA2344	351.095	ECA2344	20210121	TRUE	TRUE
ECA2348	229.508	ECA2350	20210121	FALSE	TRUE
ECA2350	244.984	ECA2350	20210121	TRUE	TRUE
ECA2352	260.942	ECA2350	20210121	FALSE	TRUE
ECA2354	208.53	ECA2360	20210121	FALSE	TRUE
ECA2356	247.068	ECA2360	20210121	FALSE	TRUE
ECA2358	284.032	ECA2360	20210121	FALSE	TRUE
ECA2360	172.464	ECA2360	20210121	TRUE	TRUE
ECA2362	271.887	ECA2360	20210121	FALSE	TRUE
ECA2365	119.588	ECA363	20210121	FALSE	TRUE
ECA2367	112.947	ECA2367	20210121	TRUE	TRUE
ECA2375	168.001	ECA2377	20210121	FALSE	TRUE
ECA2377	177.042	ECA2377	20210121	TRUE	TRUE
ECA2401	101.395	ECA2473	20210121	FALSE	TRUE
ECA2403	171.361	ECA2473	20210121	FALSE	TRUE
ECA2405	182.118	ECA2473	20210121	FALSE	TRUE
ECA2413	196.586	ECA2417	20210121	FALSE	TRUE
ECA2415	191.105	ECA2417	20210121	FALSE	TRUE
ECA2417	214.894	ECA2417	20210121	TRUE	TRUE
ECA2419	250.667	ECA2417	20210121	FALSE	TRUE
ECA2421	212.801	ECA2417	20210121	FALSE	TRUE
ECA2423	247.703	ECA2417	20210121	FALSE	TRUE
ECA2429	184.874	ECA1281	20210121	FALSE	TRUE
ECA243	291.623	CB4851	20160408	TRUE	TRUE
ECA2431	221.48	ECA1281	20210121	FALSE	TRUE
ECA2433	189.764	ECA1281	20210121	FALSE	TRUE
ECA2435	200.489	ECA1281	20210121	FALSE	TRUE
ECA2437	201.139	ECA2437	20210121	TRUE	TRUE
ECA2439	186.711	ECA1281	20210121	FALSE	TRUE
ECA2443	158.036	ECA2443	20210121	TRUE	TRUE
ECA2445	154.697	ECA2443	20210121	FALSE	TRUE
ECA245	141.103	CB4853	20160408	FALSE	TRUE
ECA2452	170.454	ECA2452	20210121	TRUE	TRUE
ECA246	173.57	CB4853	20160408	TRUE	TRUE
ECA2467	235.934	ECA2467	20210121	TRUE	TRUE
ECA2473	201.094	ECA2473	20210121	TRUE	TRUE
ECA2475	150.615	ECA2475	20210121	TRUE	TRUE
ECA2477	98.7095	ECA2475	20210121	FALSE	TRUE
ECA2479	156.244	ECA2475	20210121	FALSE	TRUE
ECA248	776.782	CB4855	20160408	TRUE	TRUE
ECA2481	222.352	ECA2481	20210121	TRUE	TRUE
ECA2482	195.748	ECA2482	20210121	TRUE	TRUE
ECA2485	164.162	ECA2475	20210121	FALSE	TRUE
ECA2487	158.089	ECA2475	20210121	FALSE	TRUE
ECA2489	210.159	ECA2489	20210121	TRUE	TRUE
ECA249	226.347	CB4857	20160408	FALSE	TRUE
ECA250	305.117	CB4857	20160408	TRUE	TRUE
ECA251	636.56	CB4858	20160408	TRUE	TRUE
ECA2521	190.072	ECA2533	20210121	FALSE	TRUE
ECA2522	218.969	ECA2522	20210121	TRUE	TRUE
ECA2523	186.951	ECA2523	20210121	TRUE	TRUE
ECA2524	171.228	ECA2523	20210121	FALSE	TRUE
ECA2525	235.09	ECA2533	20210121	FALSE	TRUE
ECA2526	254.188	ECA2536	20210121	FALSE	TRUE
ECA2527	222.139	ECA2527	20210121	TRUE	TRUE
ECA2528	195.643	ECA2527	20210121	FALSE	TRUE
ECA2529	271.147	ECA2529	20210121	TRUE	TRUE
ECA253	314.315	N2	20160408	FALSE	TRUE
ECA2532	220.047	ECA2533	20210121	FALSE	TRUE
ECA2533	234.845	ECA2533	20210121	TRUE	TRUE
ECA2534	258.119	ECA2533	20210121	FALSE	TRUE
ECA2535	251.366	ECA2536	20210121	FALSE	TRUE
ECA2536	245.156	ECA2536	20210121	TRUE	TRUE
ECA2537	226.161	ECA2533	20210121	FALSE	TRUE
ECA254	108.039	N2	20160408	FALSE	TRUE
ECA2546	169.611	ECA2546	20210121	TRUE	TRUE
ECA2547	137.739	ECA2546	20210121	FALSE	TRUE
ECA2548	165.993	ECA2672	20210121	FALSE	TRUE
ECA2549	184.205	ECA2549	20210121	TRUE	TRUE
ECA2550	171.346	ECA2551	20210121	FALSE	TRUE
ECA2551	157.35	ECA2551	20210121	TRUE	TRUE
ECA2552	164.788	ECA2672	20210121	FALSE	TRUE
ECA2553	149.377	ECA2551	20210121	FALSE	TRUE
ECA2554	170.71	ECA2554	20210121	TRUE	TRUE
ECA2555	166.599	ECA2555	20210121	TRUE	TRUE
ECA2556	257.248	ECA2559	20210121	FALSE	TRUE
ECA2557	240.109	ECA2559	20210121	FALSE	TRUE
ECA2558	235.233	ECA2609	20210121	FALSE	TRUE
ECA2559	225.282	ECA2559	20210121	TRUE	TRUE
ECA2560	176.048	ECA2560	20210121	TRUE	TRUE
ECA2561	154.296	ECA2561	20210121	TRUE	TRUE
ECA2562	189.773	ECA2565	20210121	FALSE	TRUE
ECA2563	187.961	ECA2565	20210121	FALSE	TRUE
ECA2564	174.241	ECA2565	20210121	FALSE	TRUE
ECA2565	173.401	ECA2565	20210121	TRUE	TRUE
ECA2566	182.389	ECA2565	20210121	FALSE	TRUE
ECA2567	173.235	ECA2565	20210121	FALSE	TRUE
ECA2568	171.8	ECA2568	20210121	TRUE	TRUE
ECA2569	140.503	ECA2603	20210121	FALSE	TRUE
ECA2570	153.151	ECA2561	20210121	FALSE	TRUE
ECA2571	252.298	ECA2581	20210121	FALSE	TRUE
ECA2572	262.107	ECA2581	20210121	FALSE	TRUE
ECA2573	225.129	ECA2581	20210121	FALSE	TRUE
ECA2574	168.681	ECA2603	20210121	FALSE	TRUE
ECA2575	173.668	ECA2603	20210121	FALSE	TRUE
ECA2576	158.142	ECA2676	20210121	FALSE	TRUE
ECA2577	163.954	ECA2603	20210121	FALSE	TRUE
ECA2578	169.981	ECA2603	20210121	FALSE	TRUE
ECA2579	145.206	ECA2561	20210121	FALSE	TRUE
ECA2580	162.624	ECA2561	20210121	FALSE	TRUE
ECA2581	232.959	ECA2581	20210121	TRUE	TRUE
