strain	LENGTH_ESTIMATE
[CB4852.bam]	175.569
[ECA399.bam]	201.186
[ECA757.bam]	333.642
[MY2199.bam]	194.662
[WN2056.bam]	125.786
[JU1929.bam]	139.568
[ECA2342.bam]	350.028
[ECA1256.bam]	195.659
[ED3040.bam]	154.702
[QX1213.bam]	1545.46
[ECA2069.bam]	354.473
[ECA2315.bam]	204.347
[JU1762.bam]	99.7411
[ECA807.bam]	220.949
[WN2079.bam]	141.652
[ECA2489.bam]	210.159
[QG2856.bam]	134.062
[ECA2589.bam]	167.975
[QW947.bam]	122.144
[ECA192.bam]	373.173
[CX11262.bam]	214.774
[ECA2487.bam]	158.089
[ECA2610.bam]	245.385
[ECA717.bam]	172.356
[ECA1895.bam]	366.523
[NIC276.bam]	120.22
[JU2565.bam]	227.985
[JU3318.bam]	218.3
[NIC512.bam]	331.917
[ECA2117.bam]	202.207
[ECA923.bam]	131.916
[ECA1207.bam]	205.078
[ECA1755.bam]	158.376
[JU3133.bam]	184.941
[ECA720.bam]	242.626
[ECA711.bam]	263.941
[ECA1833.bam]	190.212
[ECA1218.bam]	164.716
[MY990.bam]	151.596
[MY2339.bam]	183.563
[QG2878.bam]	125.578
[JU1960.bam]	965.15
[ECA1985.bam]	185.529
[MY2636.bam]	524.92
[AB4.bam]	808.118
[ECA2429.bam]	184.874
[NIC1811.bam]	177.04
[ECA811.bam]	258.371
[JU2478.bam]	238.256
[NIC256.bam]	185.652
[ECA1258.bam]	170.725
[MY2282.bam]	156.079
[NIC1780.bam]	252.785
[ECA701.bam]	185.55
[QX1215.bam]	412.153
[ECA739.bam]	277.511
[ECA2601.bam]	279.607
[MY561.bam]	90.3885
[ECA1240.bam]	186.189
[ECA2672.bam]	167.447
[ECA2590.bam]	181.158
[TWN2803.bam]	188.163
[XZ2211.bam]	174.007
[ECA191.bam]	219.639
[ECA2443.bam]	158.036
[ECA1241.bam]	161.537
[ECA2322.bam]	255.957
[JU751.bam]	175.998
[ECA1217.bam]	144.157
[JU1212.bam]	185.573
[ECA1206.bam]	157.683
[ECA2576.bam]	158.142
[JR4305.bam]	241.505
[ECA2652.bam]	204.613
[ECA1909.bam]	180.521
[XZ2212.bam]	193.145
