ReadGroup	length_estimate
[QG4029.bam]	34.4043
[QG868.bam]	79.7743
[QG941.bam]	195.666
[JU2233.bam]	64.1256
[BRC20085.bam]	50.3692
[GXW0025.bam]	63.3538
[QG2691.bam]	167.462
[ECA1165.bam]	46.1406
[JU2054.bam]	48.0966
[QG2618.bam]	74.6279
[JU1259.bam]	85.7382
[JU2214.bam]	53.746
[QG547.bam]	111.809
[ECA1443.bam]	33.8479
[QG1129.bam]	73.8981
[XZ1204.bam]	59.0618
[NIC1124.bam]	84.5858
[QG3874.bam]	28.1867
[QG3920.bam]	99.77
[ECA1637.bam]	85.7379
[ECA1651.bam]	218.244
[JU2533.bam]	41.3825
[NIC1593.bam]	99.3865
[ECA1555.bam]	57.3535
[ECA1152.bam]	56.3333
[QG782.bam]	40.1754
[QG4131.bam]	48.4015
[QG951.bam]	63.8688
[JU2218.bam]	75.7605
[NIC167.bam]	92.5602
[JU1775.bam]	82.3195
[ED3082.bam]	59.0699
[QG588.bam]	71.1659
[JU1038.bam]	108.018
[JU2206.bam]	102.112
[JU2591.bam]	74.1344
[QX1804.bam]	59.5395
[NIC116.bam]	69.8561
[JU837.bam]	63.379
[NIC893.bam]	77.3734
[JU3168.bam]	63.6903
[JU1474.bam]	68.4911
[NIC812.bam]	77.7778
[NIC981.bam]	54.9075
[NIC821.bam]	76.2892
[NIC818.bam]	48.0473
[NIC1535.bam]	45.5555
[JU1048.bam]	90.9078
[BRC20533.bam]	37.6776
[NIC369.bam]	87.4959
[JU1998.bam]	96.7495
[TWN1772.bam]	54.3574
[JU2057.bam]	55.1041
[QG4116.bam]	39.5606
[NIC1424.bam]	63.3125
[JU3276.bam]	131.399
[NIC850.bam]	95.5913
[NIC574.bam]	38.2621
[QG2966.bam]	114.628
[QG738.bam]	50.6695
[ECA2623.bam]	83.3176
[ECA181.bam]	118.38
